condition,source,doc,position,seq_len,cosine,cosine_shuffled,fve_own,fve_pooled,fve_shuffled,recon_scale_ratio,explanation
polaris,reasoner,run-20260823-200843/req-00006.json,488,4375,0.8076014518737793,0.440269410610199,0.3371834978333218,0.4067693532363388,-0.7258404062935169,2.874600410461426,"Structured chat UI format with numbered bug report prompts and code blocks, presenting technical UI feedback pattern with ""UI metrics"" and ""Player behavior"" sections.

The phrase ""Show 'Statistical data' over time over X days"" suggests a proposed query or filter term defining a trend, with ""Moving average of metrics over"" implying a specific chart or statistic context about the bot's memory state.

Final token ""over"" ends an incomplete noun phrase (""Metrics over metrics over""), part of a quoted technical term definition clause (""Display 'Historical metrics' over""), expecting continuation like ""days"
polaris,reasoner,run-20260823-200843/req-00006.json,2579,4375,0.7769175171852112,0.36305564641952515,0.27602679628417437,0.32934226160367275,-0.9148592298363365,2.9888806343078613,"Structured game metadata format with technical UI data fields, following a pattern of corrected values and statistical checks for a 3.5 version update.

The final sentence ""Stat check: Average daily activity percentage shows 'stable' pattern: (95%) indicates stable"" is mid-explanation, providing a third check using the vehicle's state metric, with the quoted text defining the pattern.

Final token ""stable"" ends an incomplete clause (""Metric: Stable stable""), part of a quoted diagnostic output interpretation (""Result: Metric: This shows stable""), immediately expecting ""metric"" or ""directions"
polaris,reasoner,run-20260823-200843/req-00006.json,503,4375,0.872673749923706,0.272982656955719,0.5911189482511412,0.6242347617780144,-1.1455743840098682,3.0325534343719482,"Structured game UI prompt format with numbered tasks and code blocks, mixing Excel/Python UI elements and data analysis context.

The phrase ""Test 'Generate' function accuracy: Analyze monthly sales trends. Focus"" appears to be mid-sentence describing a search algorithm parameter with a specific filter condition (""Summarize data; Focus""), suggesting a completion of the criteria or attribute list about the brain's memory state.

Final token ""Focus"" ends an incomplete clause (""Metrics: Focus on data. Focus""), part of a parenthetical qualifier list, expecting continuation like ""on key metrics"""
polaris,reasoner,run-20260823-200843/req-00006.json,2500,4375,0.6753442287445068,0.06306495517492294,0.281975115429401,0.29870584876897455,-1.0238888986986385,2.836003065109253,"Structured game UI format with formatted statistics and confidence intervals, following a pattern of quoted survey results with parenthetical explanations for each metric.

The specific example ""The user's confidence interval was 'Above 0.5' and it stated 'My average daily increase was 0.1'"" is mid-sentence showing a numeric value with its corresponding interpretation of the trend direction.

Final token ""0.0"" is mid-number in a quoted numeric value (""0.0""), completing the parenthetical clause ""The average daily deviation was 0.5.0"" — expects"
polaris,reasoner,run-20260823-200843/req-00006.json,781,4375,0.7900606393814087,0.22382104396820068,0.3582474787632861,0.4040964548469117,-1.203149549967613,2.5090243816375732,"Structured Java API format with labeled fields (""Filter"") following a pattern of ""SearchState"" to ""ActionGenerator"" suggesting a UI class sequence.

The phrase ""if (State == 'Search') : QueryBuilder"" is a standard pattern ending with ""Generator"" — implying the final token completes a named class label, likely ""Generator"" or ""UI Output"" or ""The method to generate suggestions.""

Final token ""Generator"" ends an incomplete noun phrase (""Query Generator""), part of a ""State Generator... -> Action Generator"" structure, strongly expecting ""."" or ""Field"" or"
polaris,reasoner,run-20260823-200843/req-00006.json,3587,4375,0.6334682703018188,0.20422056317329407,0.2349785900468493,0.22100467581638583,-0.6912814562916059,2.7867884635925293,"Structured wiki table format with labeled rows showing plot statistics for a seaborn chart, following a pattern of attribute queries with formatted values.

The specific query ""Is the maximum value of 'color' greater than 549.9"" mirrors a numeric comparison from the ""Time since last month"" row, completing a quoted value with the original question about the minimum value of the ""median vote"" attribute.

Final token ""9"" is mid-number in a quoted numeric expression (""greater than 549.9""), part of a quoted value clause (""median vote > 54"
polaris,reasoner,run-20260823-200843/req-00006.json,3669,4375,0.8059473037719727,0.4614863991737366,0.289466999014654,0.3129988673800014,-0.906490420239038,2.605365753173828,"Structured wiki format with numbered steps and code blocks showing a combined model's performance metrics, with a final section addressing ""Estimated battery duration.""

The pattern ""Step 3: The value of `avg_daily_samples` is calculated. Result: The actual dataset"" introduces a mock answer with a specific check of the `sensor_data` variable's actual values, now describing a previous poll's results about the sample size.

Final token ""the"" is mid-sentence (""A poll: assumed. Results: assumed""), immediately requiring a noun phrase like ""sensor_data poll results"" or ""actual"
polaris,reasoner,run-20260823-200843/req-00006.json,1055,4375,0.8822570443153381,0.33999425172805786,0.6397442990535773,0.6490832989381794,-0.9670561761345884,3.1448311805725098,"Structured report format with numbered metrics and performance indicators listed, following a technical UI pattern with ""quarterly metrics"" and ""performance trends"" sections.

The final item ""When CPU utilization exceeds 75%"" is mid-sentence describing a condition (""When memory utilization""), implying a third metric about server memory or CPU utilization percentage, likely completing with ""is above a threshold"" or ""values exceed.""

Final token ""utilization"" ends an incomplete clause (""When memory utilization""), part of a list of conditions (""When memory utilization""), expecting a noun phrase like ""values exceed 80"
polaris,reasoner,run-20260823-200843/req-00006.json,187,4375,0.8109121322631836,0.5359581708908081,0.4171259685446108,0.44057905413875265,-0.37287941403729263,2.500422477722168,"Structured game API format with formatted fields and emoji labels, showing a technical query about Tesla battery capacity metrics in Discord bot context.

The phrase ""If 'Battery usage exceeds current demand' warning, ensuring it does not exceed limits before updating capacity... then ensuring meeting demand"" suggests a closing clause completing a constraint condition, implying the query is about the bot's overall load balance constraint versus capacity.

Final token ""meeting"" ends an incomplete phrase (""before this condition meeting... meeting""), part of a parenthetical clause (""A warning to increase charge rate while ignoring demand, then...""), strongly"
polaris,reasoner,run-20260823-200843/req-00006.json,848,4375,0.7577861547470093,0.37660911679267883,0.18129595360736317,0.22737408869415243,-0.9885233289842492,2.7536377906799316,"Structured game mechanics format with numbered data points analyzing ""SimCity's population fluctuation"" simulation, using Excel-like pattern with ""Stat changes"" and ""Timeframe"" labels.

The answer ""Query: Results show: Decreasing Maintenance"" suggests a second answer option completing the binary choice about the two opposing factors (high vs. low buffer), with ""Keeping buffer"" implying the opposite behavior.

Final token ""Maintaining"" is mid-sentence (""Option: Maintaining""), part of a third answer clause listing findings (""Findings: Findings: ...""), strongly expecting ""the buffer"
